1;"676802";"XL";6;2;6;"Dana Nagyová";"";"0941 441 196";"dana.nagyová@email.com";"SK";"Rožňava";"04801";"J. A. Komenského";"2088/26";"Cyril Marcinko";"0938 152 932";"cyril.marcinko@email.com";"SK";"Bratislava";"83106";"M. R. Štefánika";"1213/2";"2023-03-28 20:52:48";"2023-03-18 20:52:48"
2;"119193";"XL";12;3;2;"Karol Loja";"";"0945 509 256";"karol.loja@email.com";"SK";"Považská Bystrica";"01701";"M. R. Štefánika";"148/27";"Radoslav Frano";"0922 670 810";"radoslav.frano@email.com";"SK";"Považská Bystrica";"94301";"Kuzmányho";"1866/5";"2023-06-23 03:36:00";"2023-06-19 15:36:00"
3;"212701";"L";20;1;4;"Eva Heretiková";"";"0929 231 342";"eva.heretiková@email.com";"SK";"Dubnica Nad Váhom";"01841";"Nad Zábrehom";"385";"Ervín Mačo";"0950 211 749";"ervín.mačo@email.com";"SK";"Banská Bystrica";"82003";"Tranovského";"60/3";"2023-10-05 17:02:24";"2023-09-28 09:50:24"
4;"032029";"L";8;2;1;"Stanislav Marcinko";"";"0950 163 923";"stanislav.marcinko@email.com";"SK";"Galanta";"92401";"Hodská";"373/38";"Ervín Centek";"0917 743 791";"ervín.centek@email.com";"SK";"Dubnica Nad Váhom";"04001";"Považské Podhradie";"1";"2023-11-14 04:33:36";"2023-11-11 11:45:36"
5;"314753";"L";8;1;1;"Ladislav Hupka";"";"0915 958 191";"ladislav.hupka@email.com";"SK";"Moldava Nad Bodvou";"04405";"Československej armády";"35";"Ján Čarnogurský";"0910 494 302";"ján.čarnogurský@email.com";"SK";"Košice";"91501";"Kalinovská";"2088/26";"2023-11-17 15:50:24";"2023-11-15 13:26:24"
6;"581131";"XS";16;1;2;"Ivan Varga";"";"0941 451 537";"ivan.varga@email.com";"SK";"Bratislava";"82003";"Vlčie hrdlo";"1";"Ester Martincová";"0917 937 775";"ester.martincová@email.com";"SK";"Moldava Nad Bodvou";"01701";"Haanova";"1321/24";"2023-06-16 18:57:36";"2023-06-09 21:21:36"
7;"693041";"L";20;3;3;"Eva Chalupková";"";"0950 412 277";"eva.chalupková@email.com";"SK";"Košice";"04001";"Rastislavova";"785/43";"Karol Blažej";"0912 146 692";"karol.blažej@email.com";"SK";"Štúrovo";"07101";"Joliota Curie";"32";"2023-10-16 23:02:24";"2023-10-13 20:38:24"
8;"724716";"M";8;2;7;"Alexander Jakubec";"";"0928 841 547";"alexander.jakubec@email.com";"SK";"Štúrovo";"94301";"Cintorínska";"1";"Ladislav Gálik";"0921 513 290";"ladislav.gálik@email.com";"SK";"Bratislava";"08001";"Jazdecká";"7508/190";"2023-05-08 18:14:24";"2023-05-02 18:14:24"
9;"082502";"L";13;3;4;"Leonard Dancák";"";"0934 600 322";"leonard.dancák@email.com";"SK";"Košice";"04022";"Kalinovská";"860/18";"Ján Dancák";"0919 220 319";"ján.dancák@email.com";"SK";"Šamorín";"08005";"Jazdecká";"1530";"2023-06-03 18:28:48";"2023-05-29 11:16:48"
10;"350432";"M";19;1;5;"Stanislav Frano";"Panabee";"0939 655 213";"stanislav.frano@email.com";"SK";"Malacky";"90101";"Továrenská";"2374/3";"Alica Bukovská";"0945 160 964";"alica.bukovská@email.com";"SK";"Senica";"91701";"Strieborné námestie";"4665/2";"2023-06-17 01:12:00";"2023-06-15 20:24:00"
11;"907447";"M";19;2;7;"Adam Lukáč";"";"0911 793 147";"adam.lukáč@email.com";"SK";"Bratislava";"83106";"Račianska";"7508/190";"Adam Loja";"0941 471 906";"adam.loja@email.com";"SK";"Štúrovo";"04405";"Rastislavova";"385";"2023-07-09 18:28:48";"2023-07-01 04:04:48"
12;"602103";"XL";7;1;6;"Jolana Husáková";"";"0937 476 342";"jolana.husáková@email.com";"SK";"Považská Bystrica";"01704";"Považské Podhradie";"323";"Andrej Fajnor";"0914 180 515";"andrej.fajnor@email.com";"SK";"Brezno";"05801";"Jazdecká";"52";"2023-09-05 11:02:24";"2023-08-28 06:14:24"
13;"386211";"XL";19;3;7;"Mojmír Fajnor";"";"0919 302 968";"mojmír.fajnor@email.com";"SK";"Bratislava";"11877";"Popradská";"32";"Ivan Kušo";"0950 642 942";"ivan.kušo@email.com";"SK";"Senica";"05801";"Ulica M. R. Štefánika";"979/1";"2023-08-23 16:48:00";"2023-08-16 14:24:00"
14;"622991";"XXL";5;3;6;"Miloš Kazík";"BlackMagic";"0920 647 792";"miloš.kazík@email.com";"SK";"Bratislava";"85102";"Haanova";"10";"Karol Gálik";"0933 290 406";"karol.gálik@email.com";"SK";"Senica";"91501";"Račianska";"5336/72";"2024-02-05 20:38:24";"2024-01-31 03:50:24"
15;"109952";"XL";14;1;2;"Jana Bukovská";"";"0916 208 274";"jana.bukovská@email.com";"SK";"Bratislava";"85104";"Ovsištské námestie";"2631/1";"Kevin Horváth";"0924 302 690";"kevin.horváth@email.com";"SK";"Košice";"92401";"Suchá Hora";"323";"2023-04-17 23:45:36";"2023-04-08 02:09:36"
16;"100232";"XXL";13;2;1;"Emília Dekýšová";"";"0949 398 596";"emília.dekýšová@email.com";"SK";"Martin";"03601";"Severná";"14";"Mojmír Mačo";"0921 530 551";"mojmír.mačo@email.com";"SK";"Senica";"04405";"Hodská";"127";"2023-07-13 00:14:24";"2023-07-03 17:02:24"
17;"086008";"XL";13;2;3;"Filip Masárik";"";"0918 589 649";"filip.masárik@email.com";"SK";"Svidník";"08901";"Stropkovská";"474/74";"Šimon Juráš";"0929 483 347";"šimon.juráš@email.com";"SK";"Poprad";"92601";"Jazdecká";"4";"2023-05-23 12:00:00";"2023-05-14 04:48:00"
18;"453729";"XXL";21;1;6;"Alica Dekýšová";"ZenTor";"0922 674 484";"alica.dekýšová@email.com";"SK";"Dunajská Streda";"92901";"Ulica M. R. Štefánika";"979/1";"Andrej Kušo";"0934 550 637";"andrej.kušo@email.com";"SK";"Považská Bystrica";"90501";"Syslia";"730/3";"2023-10-18 16:48:00";"2023-10-17 21:36:00"
19;"926848";"XL";16;3;4;"Jozef Mačo";"";"0921 659 780";"jozef.mačo@email.com";"SK";"Brezno";"97701";"Cintorínska";"186/6";"Alojz Kollár";"0919 510 323";"alojz.kollár@email.com";"SK";"Považská Bystrica";"04012";"Suchá Hora";"243/6";"2023-11-15 12:43:12";"2023-11-08 22:19:12"
20;"155507";"S";9;2;6;"Jaromír Kuba";"";"0932 676 569";"jaromír.kuba@email.com";"SK";"Bratislava";"82105";"Syslia";"2846/27";"Ester Molnárová";"0946 395 678";"ester.molnárová@email.com";"SK";"Martin";"92601";"Račianska";"1";"2023-11-05 18:28:48";"2023-10-27 06:28:48"
21;"345978";"L";11;2;7;"Bohumil Čarnogurský";"";"0911 701 983";"bohumil.čarnogurský@email.com";"SK";"Revúca";"05001";"M. R. Štefánika";"13";"Alojz Frano";"0916 264 785";"alojz.frano@email.com";"SK";"Galanta";"94911";"Ulica M. R. Štefánika";"1";"2023-08-02 19:55:12";"2023-07-25 00:43:12"
22;"355188";"S";13;3;2;"Pavol Baláž";"";"0940 124 939";"pavol.baláž@email.com";"SK";"Kežmarok";"06001";"Suchá Hora";"1752/26";"Leonard Hupka";"0911 376 697";"leonard.hupka@email.com";"SK";"Moldava Nad Bodvou";"03101";"Suchá Hora";"149";"2023-04-18 17:16:48";"2023-04-18 10:04:48"
23;"806066";"XL";7;1;5;"Tomáš Janoš";"";"0920 934 924";"tomáš.janoš@email.com";"SK";"Bratislava";"82107";"Vlčie hrdlo";"961/54";"Gabriel Macek";"0932 735 281";"gabriel.macek@email.com";"SK";"Martin";"01701";"Račianska";"6113/5";"2024-03-03 18:57:36";"2024-02-28 14:09:36"
